epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,599.473,0.61454,0.45931,1.10201,0.76317,0.67723,0.92159,0.71874,1.32859,1.49907,1.26209,3.00238e-05,3.00238e-05,3.00238e-05
51,611.12,0.4151,0.32145,0.96843,0.77883,0.67624,0.91609,0.69645,1.33529,1.56086,1.26248,3.00475e-05,3.00475e-05,3.00475e-05
52,622.435,0.58861,0.46441,1.09226,0.77883,0.67624,0.91609,0.69645,1.33529,1.56086,1.26248,3.00476e-05,3.00476e-05,3.00476e-05
53,633.817,0.40994,0.3522,1.03481,0.77883,0.67624,0.91609,0.69645,1.33529,1.56086,1.26248,3.00242e-05,3.00242e-05,3.00242e-05
54,645.476,0.51721,0.38604,1.11369,0.78715,0.6735,0.89377,0.67513,1.33944,1.61639,1.26474,2.99772e-05,2.99772e-05,2.99772e-05
55,656.738,0.37884,0.29841,0.91271,0.78715,0.6735,0.89377,0.67513,1.33944,1.61639,1.26474,2.99066e-05,2.99066e-05,2.99066e-05
56,668.07,0.57112,0.47791,1.20221,0.78715,0.6735,0.89377,0.67513,1.33944,1.61639,1.26474,2.98125e-05,2.98125e-05,2.98125e-05
57,682.48,0.59283,0.61235,1.09983,0.81969,0.71051,0.89112,0.65659,1.35493,1.68235,1.27659,2.96948e-05,2.96948e-05,2.96948e-05
58,699.305,0.48506,0.54537,1.0604,0.81969,0.71051,0.89112,0.65659,1.35493,1.68235,1.27659,2.95535e-05,2.95535e-05,2.95535e-05
59,711.039,0.42174,0.35286,0.97472,0.81969,0.71051,0.89112,0.65659,1.35493,1.68235,1.27659,2.93887e-05,2.93887e-05,2.93887e-05
60,723.149,0.61179,0.60081,1.2313,0.8346,0.7086,0.89367,0.64418,1.36603,1.73021,1.28629,2.92003e-05,2.92003e-05,2.92003e-05
61,735.062,0.47289,0.36449,0.99508,0.8346,0.7086,0.89367,0.64418,1.36603,1.73021,1.28629,2.89884e-05,2.89884e-05,2.89884e-05
62,747.398,0.36668,0.32595,0.87022,0.8346,0.7086,0.89367,0.64418,1.36603,1.73021,1.28629,2.87529e-05,2.87529e-05,2.87529e-05
63,759.112,0.47464,0.38524,1.01381,0.82595,0.73333,0.78532,0.52917,1.39472,1.79941,1.31136,2.84938e-05,2.84938e-05,2.84938e-05
64,774.899,0.41285,0.31239,0.97565,0.82595,0.73333,0.78532,0.52917,1.39472,1.79941,1.31136,2.82112e-05,2.82112e-05,2.82112e-05
65,787.458,0.39195,0.35504,1.09482,0.82595,0.73333,0.78532,0.52917,1.39472,1.79941,1.31136,2.7905e-05,2.7905e-05,2.7905e-05
66,799.448,0.3495,0.29405,0.99547,0.74752,0.73333,0.81305,0.54034,1.42294,1.82185,1.35472,2.75753e-05,2.75753e-05,2.75753e-05
67,811.73,0.40591,0.45279,0.94373,0.74752,0.73333,0.81305,0.54034,1.42294,1.82185,1.35472,2.7222e-05,2.7222e-05,2.7222e-05
68,823.446,0.51961,0.68054,1.09938,0.74752,0.73333,0.81305,0.54034,1.42294,1.82185,1.35472,2.68451e-05,2.68451e-05,2.68451e-05
69,836.123,0.41992,0.44169,1.012,0.7555,0.73333,0.8167,0.54457,1.42711,1.83275,1.37443,2.64447e-05,2.64447e-05,2.64447e-05
70,848.492,0.52116,0.39164,1.13738,0.7555,0.73333,0.8167,0.54457,1.42711,1.83275,1.37443,2.60207e-05,2.60207e-05,2.60207e-05
71,860.431,0.55805,0.57732,1.10392,0.7555,0.73333,0.8167,0.54457,1.42711,1.83275,1.37443,2.55731e-05,2.55731e-05,2.55731e-05
72,873.027,0.38275,0.24378,0.97493,0.74093,0.73333,0.81675,0.54512,1.43845,1.8659,1.39453,2.5102e-05,2.5102e-05,2.5102e-05
73,884.842,0.345,0.28547,0.89489,0.74093,0.73333,0.81675,0.54512,1.43845,1.8659,1.39453,2.46073e-05,2.46073e-05,2.46073e-05
74,898.486,0.36817,0.38669,0.92797,0.74093,0.73333,0.81675,0.54512,1.43845,1.8659,1.39453,2.40891e-05,2.40891e-05,2.40891e-05
